C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
2020,01,1,17,2,02,21,UU,1,2,1,18,02,01,2012,01,U,54,11,N,UU,1,000000002792472
2020,01,1,16,2,02,21,UU,2,5,1,18,01,01,2003,01,M,39,11,2,02,1,000000002792476
2020,01,1,16,2,02,21,UU,2,5,1,18,02,01,2004,01,U,31,11,N,UU,1,000000002792476
2020,01,1,18,2,01,04,UU,3,2,1,18,01,01,2003,01,M,74,11,2,02,1,000000002792495
2020,01,1,18,2,01,04,UU,3,2,1,18,01,01,2003,02,F,69,13,2,02,2,000000002792495
2020,01,1,12,2,02,21,02,1,2,1,01,01,06,2011,01,F,37,11,2,02,1,000000002792557
2020,01,1,12,2,02,21,02,1,2,1,01,02,01,2012,01,U,47,11,N,UU,1,000000002792557
2020,01,1,18,2,02,35,02,1,2,1,03,01,06,2011,01,F,60,11,2,02,1,000000002792558
2020,01,1,18,2,02,35,02,1,2,1,03,02,01,2013,01,U,69,11,N,UU,1,000000002792558
2020,01,1,00,2,01,04,UU,1,5,4,18,01,01,2003,01,M,35,11,2,02,1,000000002792592
2020,01,1,07,2,01,04,UU,4,3,2,18,01,06,1996,01,M,43,11,2,02,1,000000002792622
2020,01,1,07,2,01,04,UU,4,3,2,18,01,06,1996,02,M,15,13,2,02,2,000000002792622
2020,01,1,12,2,02,21,04,1,1,1,18,01,01,2013,01,F,72,11,2,02,1,000000002793003
2020,01,1,12,2,02,21,04,1,1,1,18,02,08,2012,01,U,37,11,N,UU,1,000000002793003
2020,01,1,06,2,01,02,02,1,3,1,03,01,01,2006,01,M,32,11,1,02,1,000000002793895
2020,01,1,06,2,01,02,02,1,3,1,03,99,NN,NNNN,01,F,35,99,2,NN,3,000000002793895
2020,01,1,18,2,03,21,01,1,2,1,18,01,01,2011,01,M,74,11,U,UU,1,000000002794027
2020,01,1,18,2,03,21,01,1,2,1,18,02,01,2019,01,M,25,11,2,02,1,000000002794027
2020,01,1,18,2,03,21,01,1,2,1,18,03,01,2010,01,M,57,11,U,UU,1,000000002794027
2020,01,1,18,2,02,QQ,02,4,2,1,01,01,01,2020,01,F,23,11,2,02,1,000000002794111
2020,01,1,18,2,02,QQ,02,4,2,1,01,02,07,2001,01,M,51,11,U,UU,1,000000002794111
2020,01,1,18,2,02,QQ,02,2,3,1,01,01,01,2012,01,M,61,11,2,02,1,000000002794112
2020,01,1,18,2,02,QQ,02,2,3,1,01,02,01,2018,01,M,45,11,2,02,1,000000002794112
2020,01,1,18,2,02,QQ,02,2,3,1,01,02,01,2018,02,F,73,13,2,02,2,000000002794112
